event_id,source,observed_at,kind,title,severity,location,latitude,longitude,value,unit,provenance_url,mode
txdot-loop-360-near-lost-creek-2026-07-18T17:20:25.177661+00:00,austin,2026-07-18T17:20:25.177662+00:00,road_closure,TxDOT Closure: Loop 360 near Lost Creek - Debris - flooding,severe,Loop 360 near Lost Creek,30.321,-97.782,,,https://www.drivetexas.org,live
txdot-fm-734-parmer-lane-2026-07-18T17:20:25.177657+00:00,austin,2026-07-18T17:20:25.177658+00:00,road_closure,TxDOT Closure: FM 734 Parmer Lane - Water over road,severe,FM 734 Parmer Lane,30.403,-97.697,,,https://www.drivetexas.org,live
txdot-sh-71-near-spicewood-2026-07-18T17:20:25.177652+00:00,austin,2026-07-18T17:20:25.177654+00:00,road_closure,TxDOT Closure: SH 71 near Spicewood - Flooding,severe,SH 71 near Spicewood,30.465,-98.156,,,https://www.drivetexas.org,live
txdot-us-281-near-johnson-city-2026-07-18T17:20:25.177643+00:00,austin,2026-07-18T17:20:25.177645+00:00,road_closure,TxDOT Closure: US 281 near Johnson City - High water,severe,US 281 near Johnson City,30.276,-98.411,,,https://www.drivetexas.org,live
txdot-rm-1431-near-marble-falls-2026-07-18T17:20:25.177612+00:00,austin,2026-07-18T17:20:25.177621+00:00,road_closure,TxDOT Closure: RM 1431 near Marble Falls - Flooding - low water crossing,severe,RM 1431 near Marble Falls,30.578,-98.274,,,https://www.drivetexas.org,live
txdot-loop-360-near-lost-creek-2026-07-18T17:11:33.699789+00:00,austin,2026-07-18T17:11:33.699790+00:00,road_closure,TxDOT Closure: Loop 360 near Lost Creek - Debris - flooding,severe,Loop 360 near Lost Creek,30.321,-97.782,,,https://www.drivetexas.org,live
txdot-fm-734-parmer-lane-2026-07-18T17:11:33.699785+00:00,austin,2026-07-18T17:11:33.699786+00:00,road_closure,TxDOT Closure: FM 734 Parmer Lane - Water over road,severe,FM 734 Parmer Lane,30.403,-97.697,,,https://www.drivetexas.org,live
txdot-sh-71-near-spicewood-2026-07-18T17:11:33.699781+00:00,austin,2026-07-18T17:11:33.699782+00:00,road_closure,TxDOT Closure: SH 71 near Spicewood - Flooding,severe,SH 71 near Spicewood,30.465,-98.156,,,https://www.drivetexas.org,live
txdot-us-281-near-johnson-city-2026-07-18T17:11:33.699772+00:00,austin,2026-07-18T17:11:33.699774+00:00,road_closure,TxDOT Closure: US 281 near Johnson City - High water,severe,US 281 near Johnson City,30.276,-98.411,,,https://www.drivetexas.org,live
txdot-rm-1431-near-marble-falls-2026-07-18T17:11:33.699734+00:00,austin,2026-07-18T17:11:33.699743+00:00,road_closure,TxDOT Closure: RM 1431 near Marble Falls - Flooding - low water crossing,severe,RM 1431 near Marble Falls,30.578,-98.274,,,https://www.drivetexas.org,live
